objective_code,question_text,question_type,difficulty,answer_choices_json,correct_answer_key_json,hint,explanation,source
2.1,"A group of attackers with sophisticated capabilities, nearly unlimited funding, and long-term objectives to steal government secrets is BEST classified as which threat actor type?",multiple_choice,easy,"[{""id"": 1, ""text"": ""Hacktivist"", ""order"": 1}, {""id"": 2, ""text"": ""Nation-state"", ""order"": 2}, {""id"": 3, ""text"": ""Organized crime"", ""order"": 3}, {""id"": 4, ""text"": ""Unskilled attacker"", ""order"": 4}]","{""correct_ids"": [2]}",This actor type is backed by a government and focuses on espionage or strategic disruption.,"Nation-state threat actors are sponsored by governments and typically have advanced capabilities (APT — Advanced Persistent Threat), substantial funding, and strategic motivations such as espionage, intelligence gathering, or disrupting adversary critical infrastructure. They are the most sophisticated and persistent threat actors.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.1,An attacker defaces a corporation's website with political slogans to protest the company's environmental policies. This attacker is BEST described as a:,multiple_choice,easy,"[{""id"": 1, ""text"": ""Nation-state actor"", ""order"": 1}, {""id"": 2, ""text"": ""Hacktivist"", ""order"": 2}, {""id"": 3, ""text"": ""Insider threat"", ""order"": 3}, {""id"": 4, ""text"": ""Organized crime member"", ""order"": 4}]","{""correct_ids"": [2]}","The primary motivation here is ideological or political, not financial.","A hacktivist combines hacking with activism, using cyberattacks to promote political, social, or ideological causes. Their primary motivation is philosophical/political beliefs rather than financial gain or espionage. Typical tactics include website defacement, DDoS attacks, and data leaks.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.1,Which of the following attributes BEST distinguishes a nation-state actor from organized crime as a threat actor?,multiple_choice,medium,"[{""id"": 1, ""text"": ""Organized crime uses more sophisticated attack techniques"", ""order"": 1}, {""id"": 2, ""text"": ""Nation-state actors are exclusively internal threats"", ""order"": 2}, {""id"": 3, ""text"": ""Nation-state actors are primarily motivated by espionage and strategic disruption rather than financial gain"", ""order"": 3}, {""id"": 4, ""text"": ""Organized crime has greater resources and funding"", ""order"": 4}]","{""correct_ids"": [3]}",Think about the PRIMARY goal of each type of actor.,"Nation-state actors primarily seek espionage, intelligence, or strategic disruption. Organized crime is primarily financially motivated (ransomware, fraud, data theft for sale). Both can be highly sophisticated, but their motivations and targets differ significantly, which affects their tactics and target selection.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.1,A disgruntled employee copies confidential customer records to a personal USB drive before resigning. Which threat actor category does this represent?,multiple_choice,easy,"[{""id"": 1, ""text"": ""Shadow IT"", ""order"": 1}, {""id"": 2, ""text"": ""Unskilled attacker"", ""order"": 2}, {""id"": 3, ""text"": ""Insider threat"", ""order"": 3}, {""id"": 4, ""text"": ""Hacktivist"", ""order"": 4}]","{""correct_ids"": [3]}",This person is currently or recently employed by the organization they are harming.,"An insider threat is a current or former employee, contractor, or partner who misuses their authorized access to harm the organization. Insider threats are particularly dangerous because they have legitimate access to systems and knowledge of internal processes, making them harder to detect than external attackers.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.2,"An attacker sends a fraudulent email appearing to come from a company's bank, directing employees to a fake login page to steal credentials. This attack uses which threat vector?",multiple_choice,easy,"[{""id"": 1, ""text"": ""Voice call (vishing)"", ""order"": 1}, {""id"": 2, ""text"": ""Message-based / phishing"", ""order"": 2}, {""id"": 3, ""text"": ""Removable device"", ""order"": 3}, {""id"": 4, ""text"": ""Supply chain"", ""order"": 4}]","{""correct_ids"": [2]}",The delivery mechanism is email.,"Phishing is a message-based threat vector that uses deceptive emails to trick users into revealing credentials or clicking malicious links. Vishing uses voice calls; smishing uses SMS. Message-based attacks (email, IM, SMS) are the most common initial access vector.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.2,An attacker compromises a software library used by hundreds of applications during its build process. This is an example of which threat vector?,multiple_choice,medium,"[{""id"": 1, ""text"": ""Vulnerable software"", ""order"": 1}, {""id"": 2, ""text"": ""Supply chain attack"", ""order"": 2}, {""id"": 3, ""text"": ""Watering hole attack"", ""order"": 3}, {""id"": 4, ""text"": ""Unsupported systems"", ""order"": 4}]","{""correct_ids"": [2]}",The attacker targets a component that gets distributed to many victims through a trusted channel.,"A supply chain attack compromises software, hardware, or services provided by vendors/suppliers before they reach the end customer. By compromising a widely-used library, the attacker reaches all applications that include it. SolarWinds and XZ Utils are real-world examples.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.2,"Attackers identify that a company uses a popular industry news website. They compromise the news website, knowing the target employees visit it. This technique is called a:",multiple_choice,medium,"[{""id"": 1, ""text"": ""Typosquatting"", ""order"": 1}, {""id"": 2, ""text"": ""Brand impersonation"", ""order"": 2}, {""id"": 3, ""text"": ""Watering hole attack"", ""order"": 3}, {""id"": 4, ""text"": ""Business email compromise"", ""order"": 4}]","{""correct_ids"": [3]}",The attacker poisons a 'watering hole' that the targets are known to visit.,"A watering hole attack compromises a website that the attacker knows targets regularly visit. Rather than attacking the hardened target directly, the attacker compromises an intermediary site and waits for victims to come to them — similar to predators waiting at a water source.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.2,An attacker registers the domain 'micros0ft.com' (with a zero instead of 'o') to intercept users who mistype the legitimate URL. This attack is called:,multiple_choice,easy,"[{""id"": 1, ""text"": ""Brand impersonation"", ""order"": 1}, {""id"": 2, ""text"": ""Pretexting"", ""order"": 2}, {""id"": 3, ""text"": ""Typosquatting"", ""order"": 3}, {""id"": 4, ""text"": ""Business email compromise"", ""order"": 4}]","{""correct_ids"": [3]}",The attack exploits common typing mistakes in domain names.,"Typosquatting (URL hijacking) registers domain names with common typographical errors of legitimate domains. Users who mistype URLs land on the attacker's site, which may host malware or credential-harvesting pages. It exploits the human tendency to make small keyboard errors.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.2,Which of the following BEST represents an open service port as an attack surface?,multiple_choice,medium,"[{""id"": 1, ""text"": ""A server running an unpatched OS"", ""order"": 1}, {""id"": 2, ""text"": ""A server with TCP port 23 (Telnet) open and accessible from the internet"", ""order"": 2}, {""id"": 3, ""text"": ""A server with default admin credentials unchanged"", ""order"": 3}, {""id"": 4, ""text"": ""A server without disk encryption"", ""order"": 4}]","{""correct_ids"": [2]}",The question specifically asks about an OPEN SERVICE PORT.,An open service port directly represents an attack surface by exposing a service to potential exploitation. Port 23 (Telnet) is unencrypted and especially dangerous when internet-facing. Unpatched OS is a vulnerability; default credentials is a misconfiguration; missing disk encryption is a data-at-rest issue.,CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.3,"An attacker provides carefully crafted input to a web application that causes the application to execute SQL commands against the database, bypassing authentication. This is an example of which vulnerability type?",multiple_choice,easy,"[{""id"": 1, ""text"": ""Buffer overflow"", ""order"": 1}, {""id"": 2, ""text"": ""Cross-site scripting (XSS)"", ""order"": 2}, {""id"": 3, ""text"": ""SQL injection (SQLi)"", ""order"": 3}, {""id"": 4, ""text"": ""Race condition"", ""order"": 4}]","{""correct_ids"": [3]}",The attacker is manipulating database query logic through user input.,"SQL injection (SQLi) occurs when user-supplied input is incorporated into SQL queries without proper sanitization, allowing attackers to manipulate the query logic. Classic bypass: entering ' OR '1'='1 as a username. It can expose, modify, or delete database data.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.3,A vulnerability is discovered on a vendor's hardware that cannot receive firmware updates because the product has reached its end-of-life date. Which vulnerability category does this represent?,multiple_choice,medium,"[{""id"": 1, ""text"": ""Zero-day"", ""order"": 1}, {""id"": 2, ""text"": ""Supply chain"", ""order"": 2}, {""id"": 3, ""text"": ""Hardware / end-of-life"", ""order"": 3}, {""id"": 4, ""text"": ""Cryptographic"", ""order"": 4}]","{""correct_ids"": [3]}",The vulnerability exists because the product is no longer supported by the vendor.,"End-of-life hardware vulnerabilities arise when devices no longer receive security updates from the manufacturer. Without patches, known vulnerabilities remain permanently exploitable. This is a hardware category vulnerability (though it overlaps with legacy systems) — distinct from zero-day (unknown) or supply chain (compromised during manufacturing/distribution).",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.3,"An application checks a file's permissions before opening it (time-of-check), but the attacker replaces the file with a malicious one in the brief moment between the check and the actual file access (time-of-use). This vulnerability is called a:",multiple_choice,hard,"[{""id"": 1, ""text"": ""Buffer overflow"", ""order"": 1}, {""id"": 2, ""text"": ""Memory injection"", ""order"": 2}, {""id"": 3, ""text"": ""Race condition (TOC/TOU)"", ""order"": 3}, {""id"": 4, ""text"": ""Privilege escalation"", ""order"": 4}]","{""correct_ids"": [3]}",The attack exploits a tiny gap in TIME between two operations that should be atomic.,"A race condition (specifically TOC/TOU — Time-of-Check/Time-of-Use) exploits the time gap between when a resource is checked and when it is used. By replacing the resource in that window, an attacker bypasses the security check. This is a classic example of an TOCTOU race condition vulnerability.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.3,"An attacker installs an unofficial app on an Android device by enabling 'Unknown Sources' and installing an APK directly, bypassing the Google Play Store. This technique is called:",multiple_choice,easy,"[{""id"": 1, ""text"": ""Jailbreaking"", ""order"": 1}, {""id"": 2, ""text"": ""Side loading"", ""order"": 2}, {""id"": 3, ""text"": ""Rootkit installation"", ""order"": 3}, {""id"": 4, ""text"": ""Privilege escalation"", ""order"": 4}]","{""correct_ids"": [2]}",This involves installing apps through unofficial channels on an Android device.,"Side loading is the practice of installing applications on a mobile device from sources other than the official app store, bypassing app store security review. Jailbreaking (iOS) or rooting (Android) removes OS-level restrictions; side loading doesn't require root/jailbreak but bypasses store vetting.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.3,A vulnerability that is unknown to the vendor and has no available patch is called a:,multiple_choice,easy,"[{""id"": 1, ""text"": ""CVE"", ""order"": 1}, {""id"": 2, ""text"": ""Zero-day vulnerability"", ""order"": 2}, {""id"": 3, ""text"": ""CVSS critical vulnerability"", ""order"": 3}, {""id"": 4, ""text"": ""Legacy vulnerability"", ""order"": 4}]","{""correct_ids"": [2]}",The vendor has had 'zero days' to fix it because they don't know about it yet.,A zero-day vulnerability is a flaw unknown to the vendor and therefore unpatched. The name refers to the number of days the vendor has had to fix the issue: zero. Zero-days are highly valuable to attackers because no defense exists until the vendor is notified and releases a patch.,CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.4,Security analysts observe that a user account successfully authenticated from New York at 8:00 AM and then authenticated from Tokyo at 8:45 AM — a physical impossibility. This indicator is called:,multiple_choice,easy,"[{""id"": 1, ""text"": ""Account lockout"", ""order"": 1}, {""id"": 2, ""text"": ""Concurrent session usage"", ""order"": 2}, {""id"": 3, ""text"": ""Impossible travel"", ""order"": 3}, {""id"": 4, ""text"": ""Out-of-cycle logging"", ""order"": 4}]","{""correct_ids"": [3]}",The physical distance and time difference make the logins logically impossible for a single person.,Impossible travel is an indicator of compromise where authentication events occur from geographically distant locations within a timeframe physically impossible for travel. It typically indicates credential theft and use by an attacker in a different location from the legitimate user.,CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.4,Malware that encrypts a victim's files and demands cryptocurrency payment to restore access is classified as:,multiple_choice,easy,"[{""id"": 1, ""text"": ""Trojan"", ""order"": 1}, {""id"": 2, ""text"": ""Ransomware"", ""order"": 2}, {""id"": 3, ""text"": ""Rootkit"", ""order"": 3}, {""id"": 4, ""text"": ""Logic bomb"", ""order"": 4}]","{""correct_ids"": [2]}",The primary action is encrypting data and demanding payment (ransom).,"Ransomware encrypts victim files and demands payment (typically cryptocurrency) for the decryption key. Notable examples: WannaCry, CryptoLocker, REvil. It primarily attacks Availability (files become inaccessible) and can also impact Confidentiality (modern ransomware exfiltrates data before encrypting).",CompTIA Security+ SY0-701 Exam Objectives (7.0)
2.4,"Malware that hides itself and other malicious software at the kernel or hypervisor level, making it extremely difficult to detect from within the compromised OS, is called a:",multiple_choice,medium,"[{""id"": 1, ""text"": ""Worm"", ""order"": 1}, {""id"": 2, ""text"": ""Spyware"", ""order"": 2}, {""id"": 3, ""text"": ""Rootkit"", ""order"": 3}, {""id"": 4, ""text"": ""Logic bomb"", ""order"": 4}]","{""correct_ids"": [3]}",This malware 'roots' itself at the lowest levels of the OS to hide its presence.,"A rootkit hides itself and other malware at the kernel, hypervisor (bootkit), or firmware level. Because it operates below the OS, it can subvert security tools running within the OS. Detection typically requires offline scanning from a trusted boot medium or specialized hardware-based tools.",CompTIA Security+ SY0-701 Exam Objectives (7.0)
